# MIR backend coverage baseline — generated 2026-08-23 from origin/main 267debf50f0
# format: <backend>	<variant>   (one line per handled case arm)
opencl_backend	Intrinsic
opencl_backend	Load
opencl_backend	MirSimdBinop
opencl_backend	MirSimdCmp
opencl_backend	MirSimdGather
opencl_backend	MirSimdLoad
opencl_backend	MirSimdMaskOp
opencl_backend	MirSimdReduce
opencl_backend	MirSimdScatter
opencl_backend	MirSimdSelect
opencl_backend	MirSimdSplat
opencl_backend	MirSimdStore
opencl_backend	MirSimdTernop
opencl_backend	MirSimdUnop
opencl_backend	Move
opencl_backend	Nop
opencl_backend	Ref
opencl_backend	SetField
opencl_backend	SimdAddF32x4
opencl_backend	SimdAddF32x8
opencl_backend	SimdAddF64x4
opencl_backend	SimdAddI32x4
opencl_backend	SimdAddI32x8
opencl_backend	SimdAndI32x4
opencl_backend	SimdAndI32x8
opencl_backend	SimdDivF32x4
opencl_backend	SimdDivF32x8
opencl_backend	SimdDivF64x4
opencl_backend	SimdFmaF32x4
opencl_backend	SimdFmaF32x8
opencl_backend	SimdFmaF64x4
opencl_backend	SimdHaddF32x4
opencl_backend	SimdHmaxF32x4
opencl_backend	SimdHminF32x4
opencl_backend	SimdMulF32x4
opencl_backend	SimdMulF32x8
opencl_backend	SimdMulF64x4
opencl_backend	SimdMulI32x4
opencl_backend	SimdMulI32x8
opencl_backend	SimdOrI32x4
opencl_backend	SimdOrI32x8
opencl_backend	SimdShlI32x4
opencl_backend	SimdShlI32x8
opencl_backend	SimdShrI32x4
opencl_backend	SimdShrI32x8
opencl_backend	SimdSubF32x4
opencl_backend	SimdSubF32x8
opencl_backend	SimdSubF64x4
opencl_backend	SimdSubI32x4
opencl_backend	SimdSubI32x8
opencl_backend	SimdXorI32x4
opencl_backend	SimdXorI32x8
opencl_backend	Store
opencl_backend	UnaryOp
C_backend	AcquireSnapshot
C_backend	Aggregate
C_backend	Alloc
C_backend	Await
C_backend	BinOp
C_backend	Bitcast
C_backend	Call
C_backend	CallIndirect
C_backend	Cast
C_backend	CheckedBinOp
C_backend	CommitUpdates
C_backend	Compose
C_backend	ConditionProbe
C_backend	Const
C_backend	Copy
C_backend	CreatePromise
C_backend	DebugValue
C_backend	DecisionProbe
C_backend	Drop
C_backend	FreezeRegion
C_backend	GetElementPtr
C_backend	GetField
C_backend	GpuAtomicCas
C_backend	GpuAtomicOp
C_backend	GpuBarrier
C_backend	GpuBlockDim
C_backend	GpuBlockId
C_backend	GpuGlobalId
C_backend	GpuGridDim
C_backend	GpuKernelDef
C_backend	GpuLaunch
C_backend	GpuLocalId
C_backend	GpuMemFence
C_backend	GpuSharedAlloc
C_backend	HostGpuLaneBegin
C_backend	HostGpuLaneEnd
C_backend	InlineAsm
C_backend	Intrinsic
C_backend	LayerConnect
C_backend	Load
C_backend	LoadGlobal
C_backend	MaskFromCmp
C_backend	MaskedAdd
C_backend	MaskedFma
C_backend	MaskedMul
C_backend	MirSimdBinop
C_backend	MirSimdCmp
C_backend	MirSimdGather
C_backend	MirSimdLoad
C_backend	MirSimdMaskOp
C_backend	MirSimdPermute
C_backend	MirSimdReduce
C_backend	MirSimdScalableVsetvl
C_backend	MirSimdScatter
C_backend	MirSimdSelect
C_backend	MirSimdShuffle
C_backend	MirSimdSplat
C_backend	MirSimdStore
C_backend	MirSimdTernop
C_backend	MirSimdUnop
C_backend	MirWarpActivesMask
C_backend	MirWarpBallot
C_backend	MirWarpReduce
C_backend	MirWarpShfl
C_backend	MirWarpSync
C_backend	Move
C_backend	Nop
C_backend	Parallel
C_backend	PipeForward
C_backend	PredicatedAdd
C_backend	PredicatedFma
C_backend	PredicatedMul
C_backend	Receive
C_backend	Ref
C_backend	ResultMatchSemantic
C_backend	ScalableVecFence
C_backend	Send
C_backend	SetField
C_backend	SimdAddF32x4
C_backend	SimdAddF32x8
C_backend	SimdAddF64x4
C_backend	SimdAddI32x4
C_backend	SimdAddI32x8
C_backend	SimdAndI32x4
C_backend	SimdAndI32x8
C_backend	SimdDivF32x4
C_backend	SimdDivF32x8
C_backend	SimdDivF64x4
C_backend	SimdFmaF32x4
C_backend	SimdFmaF32x8
C_backend	SimdFmaF64x4
C_backend	SimdHaddF32x4
C_backend	SimdHmaxF32x4
C_backend	SimdHminF32x4
C_backend	SimdMulF32x4
C_backend	SimdMulF32x8
C_backend	SimdMulF64x4
C_backend	SimdMulI32x4
C_backend	SimdMulI32x8
C_backend	SimdOrI32x4
C_backend	SimdOrI32x8
C_backend	SimdShlI32x4
C_backend	SimdShlI32x8
C_backend	SimdShrI32x4
C_backend	SimdShrI32x8
C_backend	SimdSubF32x4
C_backend	SimdSubF32x8
C_backend	SimdSubF64x4
C_backend	SimdSubI32x4
C_backend	SimdSubI32x8
C_backend	SimdXorI32x4
C_backend	SimdXorI32x8
C_backend	Spawn
C_backend	Store
C_backend	StoreGlobal
C_backend	TransferIn
C_backend	TransferOut
C_backend	UnaryOp
C_backend	VhdlConcat
C_backend	VhdlPortMap
C_backend	VhdlProcess
C_backend	VhdlResize
C_backend	VhdlSignalAssign
C_backend	VhdlSlice
C_backend	VhdlVarAssign
C_backend	Yield
MirToLlvm_core	AcquireSnapshot
MirToLlvm_core	Aggregate
MirToLlvm_core	Alloc
MirToLlvm_core	Await
MirToLlvm_core	BinOp
MirToLlvm_core	Bitcast
MirToLlvm_core	Call
MirToLlvm_core	CallIndirect
MirToLlvm_core	Cast
MirToLlvm_core	CheckedBinOp
MirToLlvm_core	CommitUpdates
MirToLlvm_core	Compose
MirToLlvm_core	ConditionProbe
MirToLlvm_core	Const
MirToLlvm_core	Copy
MirToLlvm_core	CreatePromise
MirToLlvm_core	DebugValue
MirToLlvm_core	DecisionProbe
MirToLlvm_core	Drop
MirToLlvm_core	FreezeRegion
MirToLlvm_core	GetElementPtr
MirToLlvm_core	GetField
MirToLlvm_core	GpuAtomicCas
MirToLlvm_core	GpuAtomicOp
MirToLlvm_core	GpuBarrier
MirToLlvm_core	GpuBlockDim
MirToLlvm_core	GpuBlockId
MirToLlvm_core	GpuGlobalId
MirToLlvm_core	GpuGridDim
MirToLlvm_core	GpuKernelDef
MirToLlvm_core	GpuLaunch
MirToLlvm_core	GpuLocalId
MirToLlvm_core	GpuMemFence
MirToLlvm_core	GpuSharedAlloc
MirToLlvm_core	HostGpuLaneBegin
MirToLlvm_core	HostGpuLaneEnd
MirToLlvm_core	InlineAsm
MirToLlvm_core	Intrinsic
MirToLlvm_core	LayerConnect
MirToLlvm_core	Load
MirToLlvm_core	LoadGlobal
MirToLlvm_core	MaskFromCmp
MirToLlvm_core	MaskedAdd
MirToLlvm_core	MaskedFma
MirToLlvm_core	MaskedMul
MirToLlvm_core	MirSimdBinop
MirToLlvm_core	MirSimdCmp
MirToLlvm_core	MirSimdGather
MirToLlvm_core	MirSimdLoad
MirToLlvm_core	MirSimdMaskOp
MirToLlvm_core	MirSimdPermute
MirToLlvm_core	MirSimdReduce
MirToLlvm_core	MirSimdScalableVsetvl
MirToLlvm_core	MirSimdScatter
MirToLlvm_core	MirSimdSelect
MirToLlvm_core	MirSimdShuffle
MirToLlvm_core	MirSimdSplat
MirToLlvm_core	MirSimdStore
MirToLlvm_core	MirSimdTernop
MirToLlvm_core	MirSimdUnop
MirToLlvm_core	MirWarpActivesMask
MirToLlvm_core	MirWarpBallot
MirToLlvm_core	MirWarpReduce
MirToLlvm_core	MirWarpShfl
