name	class	decls	subsystems	variant_sets	declarations
Visibility	DIVERGENT	7	3	5	./compiler/00.common/dependency/visibility.spl:32 ./compiler_rust/lib/std/src/hir/module.spl:71 ./compiler_rust/lib/std/src/mcp/multi_lang/__init__.spl:386 ./compiler_rust/lib/std/src/mcp/simple_lang/types.spl:181 ./compiler_rust/lib/std/src/verification/models/visibility_export.spl:7 ./lib/nogc_async_mut/dependency_tracker/visibility.spl:17 ./lib/nogc_sync_mut/dependency_tracker/visibility.spl:17
Architecture	DIVERGENT	6	3	3	./app/debug/remote/types.spl:5 ./app/mcp/dap_types.spl:5 ./lib/nogc_async_mut/debug/remote/types.spl:5 ./lib/nogc_async_mut_noalloc/qemu/debug_boot_runner.spl:15 ./lib/nogc_sync_mut/debug/remote/types.spl:5 ./os/kernel/arch/arch_context.spl:6
OutputFormat	DIVERGENT	6	3	6	./compiler/00.common/driver_core_modes.spl:29 ./compiler/10.frontend/core/backend_types.spl:65 ./compiler/70.backend/linker/link.spl:50 ./compiler_rust/lib/std/src/diagram/config.spl:32 ./compiler_rust/lib/std/src/mcp/mcp_extended.spl:124 ./lib/nogc_sync_mut/test_runner/test_runner_types.spl:32
BinOp	DIVERGENT	5	3	4	./compiler/10.frontend/parser_types_expr.spl:505 ./compiler_rust/lib/std/src/hir/eval.spl:371 ./compiler_rust/lib/std/src/hir/types.spl:134 ./lib/common/parser/ast.spl:6 ./lib/gc_async_mut/pure/ast.spl:8
Device	DIVERGENT	5	3	2	./compiler/10.frontend/parser_types_expr.spl:104 ./compiler_rust/lib/std/src/ml/torch/device/__init__.spl:5 ./lib/common/science_math/ndarray.spl:45 ./lib/nogc_sync_mut/src/dl/config.spl:67 ./lib/nogc_sync_mut/src/tensor.spl:16
DType	DIVERGENT	5	3	4	./compiler/10.frontend/parser_types_expr.spl:89 ./compiler_rust/lib/std/src/ml/torch/dtype/__init__.spl:4 ./lib/nogc_async_mut/ndarray/mod.spl:30 ./lib/nogc_sync_mut/src/dl/config.spl:10 ./lib/nogc_sync_mut/src/tensor.spl:36
ErrorSeverity	DIVERGENT	5	3	4	./compiler/10.frontend/treesitter_types.spl:359 ./compiler/35.semantics/error_formatter.spl:63 ./compiler_rust/lib/std/src/tooling/compiler/compiler_interface.spl:606 ./lib/nogc_async_mut/failsafe/core.spl:11 ./lib/nogc_sync_mut/failsafe/core.spl:11
ImportKind	DIVERGENT	5	3	2	./app/depgraph/test_parse3.spl:5 ./compiler/00.common/dependency/graph.spl:9 ./compiler/90.tools/depgraph/parser.spl:7 ./lib/nogc_async_mut/dependency_tracker/graph.spl:8 ./lib/nogc_sync_mut/dependency_tracker/graph.spl:8
TaskPriority	DIVERGENT	5	3	3	./app/office/planner/task.spl:15 ./lib/gc_async_mut/src/testing/mocking_advanced.spl:20 ./lib/nogc_async_mut/src/testing/mocking_advanced.spl:20 ./lib/nogc_sync_mut/src/testing/mocking_advanced.spl:20 ./os/kernel/types/task_types.spl:41
Pattern	DIVERGENT	4	3	3	./app/interpreter/ast_types.spl:75 ./compiler_rust/lib/std/src/tooling/compiler/pattern_matching.spl:10 ./lib/common/parser/ast.spl:84 ./lib/gc_async_mut/pure/ast.spl:85
CompressionLevel	DIVERGENT	3	3	2	./app/io/compress_ffi.spl:66 ./compiler_rust/lib/std/src/tooling/deployment/bundling.spl:371 ./lib/nogc_sync_mut/io/compress_sffi.spl:66
Platform	DIVERGENT	3	3	3	./compiler/70.backend/linker/smf_enums.spl:17 ./compiler_rust/lib/std/src/tooling/deployment/containers.spl:154 ./lib/nogc_sync_mut/package/dist.spl:21
