    920 0	OK
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 39 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 37 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 33 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 32 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 19 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 188 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 120 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected pattern, found StructuredExport 
      2 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Fn, found Import 
      2 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Eof 
      2 1	error: compile failed (<P>): codegen: Failed to parse object into relocation-aware SMF: Invalid data: Failed to parse object file: Invalid section: re
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: value") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TreeSitterParser") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: to_int") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TargetKind") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TableBuilder") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: shell") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sdn_parse_value") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sdn_parse") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: scanner") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: RtlQorRun") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_env_get") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_cli_args") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: return") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: reset_timeout") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Rect") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: PromptCommandDescriptor") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: process_run") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: platform_default_config") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parser") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parse") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: min_int") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: MCPListPanelAgentServerInfo") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: LspTransportConfig") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: item") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: is_timeout_exceeded") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: id_path_to_text") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: hooksCommandName") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: helpCommandName") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: gui_backend_default_config") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_command_table") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: fs") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: file_write") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: fetch_index_entry") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: extractTaggedValue") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: empty_external_leak_report") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: effective_visibility") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ds_set_active") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: default_leak_check_config") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: default_config") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: cwd") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: check_alloc_imports") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ArrayBuilder__new") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: animatedAsteriskFrame") 
      1 1	error: compile failed (<P>): semantic: <P>: Trait coherence errors: 
      1 1	error: compile failed (<P>): semantic: <P>: struct `Transform3D` has no field named `node_id` 
      1 1	error: compile failed (<P>): semantic: <P>: struct `DirEntry` has no field named `node` 
      1 1	error: compile failed (<P>): semantic: <P>: MIR lowering: Unsupported HIR construct: unknown variant or method 'Arguments' on enum VariableScope 
      1 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `parser.treesitter.tree`: Module resolution error: SemanticWithContext
      1 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `app.fix.rules.impl.lint_code`: Module resolution error: SemanticWithC
      1 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `app.ffi_gen.intern_codegen`: Module resolution error: SemanticWithCon
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 9 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 87 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 85 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 81 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 75 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 68 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 54 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 49 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 38 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 35 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 34 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 27 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 228 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 211 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 20 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 182 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 165 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 11 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 10 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 107 function(s) contain constructs that require the interpreter: 
      1 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected -> or => or :, found Newline 
      1 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found RParen 
      1 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Error("Unterminated f-string") 
      1 1	error: compile failed (<P>): parse: in "<P> Syntax error at 8:21: reserved keyword 'exists' cannot be used as a parameter name 
      1 1	error: compile failed (<P>): parse: in "<P> function arguments: expected Comma, found Assign 
      1 1	error: compile failed (<P>): codegen: Module error: codegen: 1 function body/bodies failed to compile: [hiddenDisabledStubCommandRegistry]; set SIMPLE
