   5721 0	OK
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: common_parse_hex_color") 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: bytes_to_text") 
      8 1	error: compile failed (<P>): semantic: <P>: struct `SourceAnchor` has no field named `file` 
      8 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Integer(<N>) 
      8 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Go 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: X<N>_MLKEM<N>_TLS_NAMED_GROUP") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: vmm_create_user_address_space") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: mod_exp") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: LB") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: keccak_f<N>") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: file_ops") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: file_exists") 
      7 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: CapabilitySet") 
      7 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `compiler.core`: Module resolution error: SemanticWithContex
      7 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `common.text`: Module resolution error: SemanticWithContext(
      7 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected LParen, found Newline 
      7 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Indent, found FString([Literal("completion_")]) 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: time") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: substring") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: SdnValue") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: MiHeapArea") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: i<N>") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: float") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ds_set_active") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ArrayBuilder__with_capacity") 
      6 1	error: compile failed (<P>): semantic: <P>: struct `SockAddr` has no field named `host` 
      6 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering SshSession.do_interact
