file	line	annotation	has_reason
src/lib/common/base64/encode.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/base64/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/bcrypt/key_derivation.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/common/bcrypt/verify.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/common/cbor/decode.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/common/cbor/encode.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/common/collections/lazy_seq.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/complex/arithmetic.spl	1	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/complex/exponential.spl	1	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/complex/utilities.spl	1	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/compute/kernels.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/common/csv/parse.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/csv/transform.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/csv/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/date/calculate.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/date/parse.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/date/types.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/diagnostics/i18n_context.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/diff/myers.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/diff/patch.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/diff/types.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/diff/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/html/dom.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/html/lexer.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/html/parser.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/json/array_ops.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/json/serializer.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/json/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/json/validation.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/locale/collation.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/locale/numbers.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/markdown/inline.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/msgpack/types.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/regex/match.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/regex/replace.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/regex/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/rsa/encrypt.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/rsa/modular.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/rsa/types.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/scrypt/pbkdf2.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/scrypt/salsa20.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/scrypt/scrypt.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/scrypt/types.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/scrypt/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/secure_random/generate.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/statistics/correlation.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/statistics/descriptive.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/statistics/inference.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/statistics/mod.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/statistics/regression.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/statistics/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/template/render.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/tree/create.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/type/effects.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/uri/parse.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/uri/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/xml/dom.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/xml/parser.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/xml/types.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/xml/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/xml/xpath.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/yaml/serialize.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/yaml/utilities.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
