category	file	line	symbol_or_function
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/http_ffi.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/profiler_simple.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/regex_ffi.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/regex_simple.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/vhdl_ffi.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/volatile_ops.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/io/mod_stub.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp/jj/jj_runner.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp/jj/main.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp/jj/resources.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp/jj/warning.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/core/errors.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/core/json.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/core/shell.spl	1	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/server/builder.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/server/method_detect.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/server/pagination.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/mcp_sdk/server/router.spl	2	
star_import	src/lib/nogc_sync_mut/net/tcp.spl	1	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/net/telnet.spl	2	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/net/udp.spl	1	facade aggregator: imports submodule symbols for re-export
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/oauth/authorize.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/oauth/refresh.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/oauth/token.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/oauth/types.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/oauth/utilities.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/oauth/validate.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/platform/convert.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/platform/text_io.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/smtp/send.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/stomp/frame.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/stomp/message.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/tcp/connect.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/tcp/listen.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/tcp/socket.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/websocket/connection.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/websocket/frame.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/websocket/handshake.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/websocket/types.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/gpu_driver/mod.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/gpu_runtime/mod.spl	2	
star_import	src/lib/nogc_sync_mut/torch/dyn_ffi.spl	1	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/sanitizer/tsan/mod.spl	2	
star_import	src/lib/nogc_sync_mut/debug/interpreter_backend.spl	1	
star_import	src/lib/nogc_sync_mut/debug/native_agent.spl	1	
star_import	src/lib/nogc_sync_mut/debug/smf_agent.spl	1	
star_import	src/lib/nogc_sync_mut/debug/coordinator.spl	1	facade aggregator: imports submodule symbols for re-export
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/package/semver_old.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/package/manifest.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/handlers/completion.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/handlers/definition.spl	2	
