seconds	rss_kib
0.000	32
1.022	53008
2.039	179776
3.062	654624
4.081	815712
5.111	877504
6.129	903152
7.149	903168
8.170	903200
9.191	903232
10.211	903248
11.228	903248
12.249	903264
13.265	903280
14.286	903296
15.307	903328
16.327	903360
17.345	903376
18.368	966112
19.389	1060112
20.416	1137184
23.482	1179920
24.507	1260816
25.548	1298880
26.576	1309840
27.604	1310608
28.632	1310848
29.654	1312448
30.681	1324464
31.723	1332912
32.753	1340208
33.779	1343328
34.804	1343360
