symbol	class	scoped_callsites	declaring_file
native_fs_metadata_sync	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_fs_read_sync	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_fs_write_sync	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_ftp_cdup	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_connect	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_cwd	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_delete	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_download	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_download_bytes	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_feat	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_list	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_list_path	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_login	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_mdtm	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_mkdir	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_noop	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_pwd	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_quit	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_raw	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_rename	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_resume_download	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
