DOC_CONTENT_DRIFT	expected # Interpreter Hook API for Debugging	test/01_unit/app/dap/interpreter_hooks_spec.spl
DOC_CONTENT_DRIFT	expected # Interpreter Hook API for Debugging	test/01_unit/app/dap/interpreter_hooks_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`NL`	test/01_unit/app/doc_coverage/compiler_integration_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_METH	`first`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_METH	`first`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
MISSING_SYMBOL_VAR	`vec`	test/01_unit/app/interpreter/collections/persistent_vec_intensive_spec.spl
